label,prec,rec
B-LOC,0.88,0.82
B-ORG,0.85,0.80
B-PER,0.93,0.91
B-POS,1.00,1.00
B-TYP,1.00,1.00
I-LOC,0.86,0.83
I-ORG,0.87,0.85
I-PER,0.94,0.91
I-POS,1.00,1.00
I-TYP,1.00,1.00
O,0.99,0.99
